elapsed_time_millis,stored_entries
662,0
9604,50000
19118,100000
28864,150000
39015,200000
49780,250000
64261,300000
82074,350000
98110,400000
114194,450000
131441,500000
148593,550000
165365,600000
181299,650000
198539,700000
215703,750000
233549,800000
252326,850000
270978,900000
290774,950000
309671,1000000
328116,1050000
346613,1100000
365161,1150000
383697,1200000
402595,1250000
421726,1300000
440938,1350000
460482,1400000
480486,1450000
499048,1500000
517972,1550000
536854,1600000
556170,1650000
575083,1700000
595354,1750000
615787,1800000
637174,1850000
658376,1900000
679895,1950000
702505,2000000
725669,2050000
749764,2100000
772087,2150000
795385,2200000
819700,2250000
843088,2300000
866914,2350000
889358,2400000
915766,2450000
940482,2500000
962916,2550000
989295,2600000
1014475,2650000
1040756,2700000
1065580,2750000
1090181,2800000
1115288,2850000
1139456,2900000
1165970,2950000
1191195,3000000
1216917,3050000
1244041,3100000
1267440,3150000
1286822,3200000
1308921,3250000
1331224,3300000
1359450,3350000
1386702,3400000
1410523,3450000
1432502,3500000
1455558,3550000
1478928,3600000
1503259,3650000
1526384,3700000
1553131,3750000
1577011,3800000
1602159,3850000
1628653,3900000
1650875,3950000
1677139,4000000
1702562,4050000
1727524,4100000
1753167,4150000
1779268,4200000
1802976,4250000
1827296,4300000
1851061,4350000
1877803,4400000
1900430,4450000
1918152,4500000
1929288,4550000
1946188,4600000
1974362,4650000
2010390,4700000
2049946,4750000
2082413,4800000
2113881,4850000
